Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,sentiment,sentiment_label,processed_text
472685,B005VOOL00,AR3EVUQF0AC7R,J. Ung,0,0,4,1334534400,A promising coffee!,"I am a lover of coffee and will try almost any coffee product once. I own a coffee pod maker at work, and I have been using Senseo's medium roast and espresso pods for a few months, but after trying Marley Coffee, I do not think I can go back to Senseo. I am not demeaning Senseo's quality, but I am certainly highlighting my preference for Marley Coffee. I will admit that when it comes to pod coffee, I do not expect much, and that's probably why I have stuck to only one brand; Marley Coffee, however, went beyond my expectations. I like my coffee strong; therefore, I recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; I never add other ingredients or sweeteners)). On a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. Other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",2,positive,Lover coffee try almost coffee product coffee pod maker work use sense medium roast espresso pod month try barley coffee not think go back sense not demean sense quality certainly highlight preference barley coffee admit come pod coffee not expect much probably stick one brand barley coffee however go beyond expectation like coffee strong therefore recommend one pour no oz per pod strong flavor come person drink straight coffee never add ingredient sweetness side note no particular exotic fruit taste coffee overall quality meet expectation pass continue buy test park organic natural tasty book worth price
193069,B000KY6NQG,A14AZWOLGK6MD3,Cousin It,5,5,5,1204675200,Delicious Honeycomb covered in Milk Chocolate!,In the UK this is one of the most popular chocolate bars.  It is a light honeycomb bar covered in Cadburys Milk Chocolate. If you like toffee and chocolate you will love these!,2,positive,Uk one popular chocolate bar light honeycomb bar cover cadburys milk chocolate like coffee chocolate love
258083,B005XB5K0G,AS2I57PJ83KNK,"D. Baker ""Beatle babe""",1,1,5,1326240000,great gift,My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.,2,positive,Daughter buy keirin coffee maker husband christmas favorite coffee starbucks house blend find could get k cup decide get several christmas arrive very quickly describe enjoy coffee must good
44300,B006N3I7S0,A2GZ3RYHGPXR2U,"Tom ""Tom""",0,0,4,1340496000,Cheaper than Starbucks,Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.,2,positive,Comparable flavor starbucks cost much less not know anyone would buy pack flavor good well
34322,B001P3NU30,A1ZANX10ZF6LMO,djpoints,1,1,1,1340323200,AWFUL. Do NOT work and are a Choking Hazzard,"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that.",0,negative,Simply awful product take market immediately absolutely nothing yr old dog teeth give per week almost choke death th one awful dangerous product simple
492363,B0000GHNWM,A39NTI5NUNFJ48,Lee Harstad,5,5,5,1180310400,If there were any more stars to give that 5 stars...,"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!",2,positive,Would give hot sauce best hot sauce ever make human hand compare tobacco utter mockery common hot sauce american experience one compare anyone would try genuinely compare two cat scan do far witness taxation go anything need make spicy tasty try put couple square mexican nectar bag doris not able put buy oz size not regret
446395,B000GZSDZI,A2OL5WLCNZVD9K,nonpareil,0,0,5,1322524800,"Wonderful product, yummy","Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",2,positive,Lucky available locally get try without order whole case find absolutely delicious far get used make black rice dry canberra dish very simple tomorrow pumpkin curry soup think chicken curry next day look make coconut milk not worry use whole go bad meanwhile delighted brand taste consistency let not forget praise manufacturer resist temptation add poison people think preservative particularly sodium metabisulfite would rather no guard gum frankly unable find without local supermarket
151850,B001EO5TRK,ASOCGX1R3ZX8D,NYRangersFan,2,2,5,1329177600,McCann's Instant Oatmeal - Maple & Brown Sugar,"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all.",2,positive,Oatmeal great eat almost every morning brand store buy change texture not like anymore could not find oatmeal like stop eat oatmeal find mccain cost store free shipping amazon not lose
120858,B003K2EXI0,A258FXO3O8EQQE,Roberta A. Ryherd,20,20,5,1239408000,Best fondant!,Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,2,positive,Satin ice best taste pendant find market little sticky type pendant keep stick hand rub cisco hand work pendant
368062,B003B3OOPA,A3LBK3TI89AT4C,Tinpenny,0,1,5,1328486400,Coconut,I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it,2,positive,Buy year old dad see commercial thought look like good stuff very pleased
154344,B0001QNMZ8,A1VKINZLHRJDB7,rijecka_sirena,1,1,4,1312848000,Bought it as a present,"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude.",2,positive,Never saw gift basket try body buy say thank business associate recipient like think purchase future price fairly nice way express gratitude
568077,B000L8FZMY,A24E0CIZBWMO4L,Legal beagle,5,5,5,1187136000,Excellent peeler and shredder,Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.,2,positive,Unbearable little tool make shredded green papal salad use shred many different not ripe fruit veggie besides papal good typical cheese great shed not cruise fruit reggae highly recommend tool
492898,B003TC7WN4,A1IRQWXJ4CWBW,Speed,0,0,1,1348704000,Beware!  Flavored Coffee...,"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!",0,negative,Sure would nice state anywhere description coffee flavor love bed breakfast coffee plain coffee surprise receive jamaica coffee flavor luck
326270,B000B6CYP2,A1YAHULOZAY6IU,Auj,0,0,5,1217289600,Fabulous Dressing to liven up your salad!,I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!,2,positive,Salad restaurant lunch go crazy roast raspberry chipotle vinaigrette dress decide recreate salad home salad dress find search internet fischer wiser roast raspberry chipotle vinaigrette dress absolutely fabulous make salad many time friend order extra bottle since get hook too salad dress not disappoint deserves five star review
32044,B0062A87HA,A3C89YOH5NT8D3,chaos controller,1,1,5,1298332800,Great deal!,I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.,2,positive,Happy see deal recently use alot pumpkin excite see organic product could actually afford look forward use many recipe
437653,B004R9GFJU,A17SLI9GXC0LHU,Maypuppet,0,1,5,1338681600,Taste Good,"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes",2,positive,Very hot smooth great consistency use korean cuisine dab not want too much item tasty extremely hot great side korean dish
179196,B008XOKY1U,A3U0YIPTZX8DZ4,vee,0,0,4,1339977600,Re-Rating,"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?",2,positive,Okay jump gun send review information receive chip think would honest indicate not receive not happy not receive however overall service not bad chip way sorry guy really not bad people impatient buyer well
469702,B0000VM8TK,A30JOAGFYY7IM1,KD,4,4,1,1347408000,Not a good value,"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way.",0,negative,Disappointing imitation almond extract terrible value oz price also quite receive mislead fact imitation product not make clear description buy need filler item reach free shipping not make mistake comparatively currently sell top quality pure almond extract oz lesson learn hard way
146985,B005GRCWDU,A1QVLJ260F6SZD,"MBKW ""Piglet""",3,3,5,1329523200,Best coffee EVER!,"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!",2,positive,Tried several brand flavor grind coffee amazon far best coffee decide write review last weekend husband make late dummy ask second one give not first time ask different told use different brand flavor really surprise could tell one love lavazza cream e gust wow difference smooth full body okay full crap no idea full body fat chick tell coffee tasty not regret buying buy january deal go brick willing pay brick price less month later wish stock cheap knew coffee go good worth even brick
21259,B002QWP89S,AKWP7LOOOF3NB,RW,0,0,4,1322870400,Tasty treats,"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help.",2,positive,Dog relatively picky come treat love not much help dodgy breath maybe time help
234761,B000KV7ZGQ,AP2XB11SRN4B5,Flora,0,0,1,1294963200,Not a good toy for chewers,"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try.",0,negative,Bought item dog play smart get food initially like since entertain dog however dog quickly crew open rope time use think problem design great rope replace well material not get crew immediately ask dog friend point problem would not recommend item dog chew well dog chew many interactive toy try
473872,B003GSVSWW,A1G57UG6WFP7EW,"Jane Marshall ""Jane Marshall""",1,1,5,1310515200,Lovely Tea,"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift.",2,positive,Tea nice mellow taste not dusty not leave bitter taste mouth common lot tea definately buy future box very nice would feel comfortable give gift
365005,B000EI2LLO,ACWNT6NN91Q3J,Jillith Fair,0,0,5,1309996800,Mae Ploy or BUST,"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!",2,positive,Best red curry not waste time cheap imitation mix coconut milk real palm sugar chicken veggie maze friend family great red curry paste
180616,B000CQBZQK,A1DTWKFY5VBGJU,S. Rozycki,0,0,4,1179360000,"Really good, for decaf","I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",2,positive,Would receive sample stash english breakfast decay previous order stash website know good decay tea always miss something think caffeine price multipage good could give couple box away cause can not go much decay tea year still save money buy supermarket
233360,B007TJGZ4A,A221NIW05HBOLX,J. Quezada,1,1,5,1275523200,A guest favorite,"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me.",2,positive,Can not think anything bad say coffee every guest enjoy not much hazelnut person taste pretty good
158427,B000BF3AL0,A8LJLTSZ57R2Y,"B. Gardner ""AmazonShopper""",1,1,3,1278028800,"Son likes them, I don't...","I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",1,neutral,Order find morningstar farms reggae dog no longer available read review decide try variety vegetarian year use faux meat like not love morningstar reggae dog absolute favorite reggae dog refrigerate section grocery store ton onion veja dog ok taste not like texture lot like hard boil egg white first get one not want even try one squash tiny dark brown spot syrup stuff store really gross too eaten still not crazy son however love say favorite try another worthington reggae dog super link linkettes give can dog together hate onion prefer texture tofu dog find grocery store
363914,B00872572E,A37FEBK40S8BRW,VLH,0,2,3,1340064000,"Good concept, poor design","Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them.",1,neutral,Edit give three star vs previous star tell not mean brew tea still would prefer total travel solution would star original post brew tea leak send first one back thinking maybe defective second one leak also get super hot point not able pick also post review teavana website not post fyi neg review send
426759,B00213EU7I,AG0PUADP81ADK,"jc ""gluten-free""",0,0,5,1253318400,Oh my gosh delicious!,"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!",2,positive,Lucy cinnamon crisp dummy entirely too tempting taste like snickerdoodles can not quit eat
203993,B001QEEXCK,A3TJ7A7FO4GM47,John T. Shea,12,13,5,1135123200,Very Impressed,"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today.",2,positive,Lot research decide switch yr old doberman aim candidate very impressed product saison love stuff too aims entice eat mixing can food tablefood candidate eagerly wolf not first ingredient meat human grade besides less filler candidate use no corn product good dog allergy corn common allege dog may talk price go use less food per day junk brand due high quality ingredient stuff besides candidate considerably cheap top shelf brand like eagle pack flint river happy able feed dog super premium grade food know much healthy buck per bag mid grade food like aim pro plan look like believe one best value pet nutrition market today
166716,B000TMS0QA,A2K9GNMX6ZX93M,wendy3330,0,0,5,1338422400,Fabulous!!!,"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",2,positive,Bought apple butter change pace normal peanut butter laugh cow light cheese spread absolutely delicious very healthy like jelly willing compromise give nutritional value real apple butter high everything calorie fat sugar etc next purchase case
257342,B0029NLV8G,A1QBOC76MIOJYP,MyPenName,1,1,5,1320364800,My cat loves it,"My cat loves this stuff! The nutrition is fair and it has alot of juice in the packet. It is a mixture of chunks of meat along with some shreads. It looks like real shreds of chicken. The sale price here at Amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />I never have any trouble getting all of the food out of the pouch - it all slides right out. This particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, I usually just cut the top off (to avoid any messes while tearing open) or, I tear from one side half way and then from the other side the rest of the way and the entire top comes off then. If there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and I do not get splattered with it. For some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. It is not like it makes a huge mess though anyway, just a few drips here and there maybe. Cutting the top off instead of tearing it solves that though.<br /><br />The other Whiskas pouches that I like to use are the Choice Cuts varieties. They have nice big chunks in them instead of a bunch of mush or all shreds. My cat likes the chunkier ones better.",2,positive,Cat love stuff nutrition fair alot juice packet mixture chunk meat along thread look like real shed chicken sale price amazon awesome less half price local store whole case never trouble get food pouch slide right particular flavor though whatever reason bit product pouch make thing easy open usually cut top avoid mess tear open tear one side half way side rest way entire top come dribble tiny bit side pouch not hand not get scattered reason top usually never tear cleanly whole way across try tear one side little messy hurry not like make huge mess though anyway drops maybe cut top instead tear solves though whiskey touch like use choice cut variety nice big chunk instead bunch much shed cat like chunky one well
86568,B0007SN7B4,A2NNK0HTZUW3P6,"M. J. Hader ""The Only""",0,0,5,1301616000,Love this stuff!,"I'm not generally a fan of hot sauces.  However, when I initially came across this in a diner I gave it a sniff, and it smelled promising.  It was quite good with my steak that morning.  Now that I have it at home, I will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces.",2,positive,Not generally fan hot sauce however initially come across diner give sniff spell promising quite good steak morning home admit touch salty flavor quite story comparison run mill hot sauce
380154,B005VGZ49U,A35W3JQYP0M655,"Ambergris ""John Thomas""",1,1,5,1322784000,Great Tasting Low Salt Mix,"I recently bought some of this at a local market.  I decided to try it because for quite some time now I have purchased Morton's Light Salt to cut down on the some of the sodium I take in.  This Diamond Crystal blend is not only cheaper than the Morton's for a generous amount more, but it also taste better in my opinion.  Like the Morton's, it contains a full one third less sodium.  But where the Morton's uses the popular substitute Potassium Chloride that has a slight metallic taste to it, the main substitute ingredient in this Diamond Chrystal blend is Silicon Dioxide, which to me has a much more natural salt taste.  I prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. It took me no time at all to get used to it, and I use it in my cooking as well as in the shaker as well.  If you have trouble finding it locally, I suggest you pick it up by the case here on Amazon and you will be set for a year or more.  A real good salt substitute, (that does contain real salt as well) that I recommend...",2,positive,Recently buy local market decide try quite time purchase morton light salt cut sodium take diamond crystal blend not cheap morton generous amount also taste good opinion like morton contain full one third less sodium morton use popular substitute potassium chloride slight metallic taste main substitute ingredient diamond crystal blend silicon dioxide much natural salt taste prefer potassium chloride already mention get money blend make sure deal take no time get use use cook well shaker well trouble find locally suggest pick case amazon set year real good salt substitute contain real salt well recommend
422062,B002OVICJO,A136BYILR08J32,Angelkitty's Mom,0,0,5,1211760000,Liv-a-littles chicken treats,"If you're looking for a yummy treat for your cat, try these.  After trying both the chicken and salmon flavors, my cats greatly preferred the chicken.  In fact, they love them.  These treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat.  I will definitely buy these again.",2,positive,Look dummy treat cat try try chicken salmon flavor cat greatly prefer chicken fact love treat white meat chicken give cat truly healthy treat instead one loaded car fat definitely buy
